============================================================
🤖 ETH合约自动交易机器人 | 2026-04-17 02:06
============================================================

项目                   内容
----------------------------------------
标的                   ETH/USDT 永续合约
杠杆                   20x
数量                   0.5 ETH
止损                   1.5%
止盈                   2.0%
扫描周期                 10秒
ADX过滤                >25
成交量过滤                >1.5x

启动中，首次加载K线数据...
✅ 数据加载完成，开始监控...

[02:07:39] 👁️ 观望中 | 1h ADX=14.7<25 震荡市
[02:08:45] 👁️ 观望中 | 1h ADX=14.7<25 震荡市
[02:09:56] 👁️ 观望中 | 1h ADX=14.7<25 震荡市
[02:11:08] 👁️ 观望中 | 1h ADX=14.7<25 震荡市
[02:12:15] 👁️ 观望中 | 1h ADX=14.7<25 震荡市
[02:13:21] 👁️ 观望中 | 1h ADX=14.7<25 震荡市
[02:14:27] 👁️ 观望中 | 1h ADX=14.7<25 震荡市
[02:15:33] 👁️ 观望中 | 1h ADX=14.7<25 震荡市
[02:16:39] 👁️ 观望中 | 1h ADX=14.7<25 震荡市
[02:17:46] 👁️ 观望中 | 1h ADX=14.7<25 震荡市
[02:18:52] 👁️ 观望中 | 1h ADX=14.7<25 震荡市
[02:20:03] 👁️ 观望中 | 1h ADX=14.7<25 震荡市
[02:21:13] 👁️ 观望中 | 1h ADX=14.7<25 震荡市
[02:22:20] 👁️ 观望中 | 1h ADX=14.7<25 震荡市
[02:23:26] 👁️ 观望中 | 1h ADX=14.7<25 震荡市
[02:24:32] 👁️ 观望中 | 1h ADX=14.7<25 震荡市
[02:25:39] 👁️ 观望中 | 1h ADX=14.7<25 震荡市
[02:26:45] 👁️ 观望中 | 1h ADX=14.7<25 震荡市
[02:27:51] 👁️ 观望中 | 1h ADX=14.7<25 震荡市
[02:28:57] 👁️ 观望中 | 1h ADX=14.7<25 震荡市
[02:30:07] 👁️ 观望中 | 1h ADX=14.7<25 震荡市
[02:31:18] 👁️ 观望中 | 1h ADX=14.7<25 震荡市
[02:32:27] 👁️ 观望中 | 1h ADX=14.7<25 震荡市
[02:33:33] 👁️ 观望中 | 1h ADX=14.7<25 震荡市
[02:34:39] 👁️ 观望中 | 1h ADX=14.7<25 震荡市
[02:35:49] 👁️ 观望中 | 1h ADX=14.7<25 震荡市
[02:37:01] 👁️ 观望中 | 1h ADX=14.7<25 震荡市
[02:38:08] 👁️ 观望中 | 1h ADX=14.7<25 震荡市
[02:39:15] 👁️ 观望中 | 1h ADX=14.7<25 震荡市
[02:40:21] 👁️ 观望中 | 1h ADX=14.7<25 震荡市
[02:41:27] 👁️ 观望中 | 1h ADX=14.7<25 震荡市
[02:42:35] 👁️ 观望中 | 1h ADX=14.7<25 震荡市
[02:43:46] 👁️ 观望中 | 1h ADX=14.7<25 震荡市
[02:44:53] 👁️ 观望中 | 1h ADX=14.7<25 震荡市
[02:46:01] 👁️ 观望中 | 1h ADX=14.8<25 震荡市
[02:47:08] 👁️ 观望中 | 1h ADX=15.0<25 震荡市
[02:48:14] 👁️ 观望中 | 1h ADX=15.0<25 震荡市
[02:49:24] 👁️ 观望中 | 1h ADX=15.0<25 震荡市
[02:50:36] 👁️ 观望中 | 1h ADX=15.0<25 震荡市
